Model Name,Model Parameters,Epochs,Category,Category Name,Category Video,Model Time,Seed,F1 (0.5),Loss
median,0,60,0,baseline,pedestrians,0.014061809,4,0.916549936,0.127089265
median,0,60,1,baseline,PETS2006,0.017992518,4,0.679599682,0.347749747
median,0,60,2,baseline,highway,0.017064142,4,0.926484926,0.123514754
median,0,60,3,baseline,office,0.015334725,4,0.705273912,0.343584077
median,0,60,5,lowFramerate,tramCrossroad_1fps,0.012690902,4,0.529256815,1.281863173
median,0,60,6,lowFramerate,tunnelExit_0_35fps,0.014492893,4,0.507361909,0.790567011
median,0,60,7,lowFramerate,turnpike_0_5fps,0.016977575,4,0.861390628,0.905782969
median,0,60,8,thermal,corridor,0.017012596,4,0.800234635,0.303799747
median,0,60,9,thermal,diningRoom,0.017038369,4,0.836980354,0.237473509
median,0,60,10,thermal,lakeSide,0.016978586,4,0.564237548,0.323164469
median,0,60,11,thermal,library,0.017090917,4,0.765361209,0.390321596
median,0,60,12,thermal,park,0.018877506,4,0.729653975,0.211582065
median,0,60,13,badWeather,blizzard,0.015215969,4,0.877105783,0.495198785
median,0,60,14,badWeather,skating,0.015324521,4,0.774262567,0.731015369
median,0,60,15,badWeather,snowFall,0.015098262,4,0,0.669316385
median,0,60,16,badWeather,wetSnow,0.016899443,4,0.848375389,0.72387424
median,0,60,18,dynamicBackground,canoe,0.016990709,4,0.601638874,0.366332728
median,0,60,19,dynamicBackground,fall,0.015093374,4,0.875382102,0.184934777
median,0,60,21,dynamicBackground,fountain02,0.015492837,4,0,0.209055984
median,0,60,22,dynamicBackground,overpass,0.01704855,4,0.767710161,0.434968232
median,0,60,23,shadow,backdoor,0.016992605,4,0.852670047,0.281692401
median,0,60,24,shadow,bungalows,0.015213924,4,0.892761122,0.212501414
median,0,60,25,shadow,busStation,0.015433073,4,0.695196984,0.39795962
median,0,60,26,shadow,copyMachine,0.015141046,4,0.633141438,0.360325809
median,0,60,27,shadow,cubicle,0.0154006,4,0.81609878,0.356263331
median,0,60,28,shadow,peopleInShade,0.015056352,4,0.476360906,0.744830019
median,0,60,29,nightVideos,bridgeEntry,0.015387456,4,0.496561353,0.653055646
